updated,open,high,low,close,average,volume
2023-07-19,29863.32,30193.38,29771.46,29918.31,29982.42,14892
2023-07-18,30147.6,30244.22,29539.77,29863.32,29891.995000000003,18707
2023-07-17,30248.17,30340.86,29673.21,30147.6,30007.035,18558
2023-07-16,30298.63,30445.28,30086.3,30248.17,30265.79,7405
2023-07-15,30329.63,30403.04,30258.91,30298.63,30330.975,4925
2023-07-14,31475.67,31634.01,29932.44,30329.63,30783.225,33129
2023-07-13,30382.25,31839.96,30258.14,31475.67,31049.05,42335
2023-07-12,30627.2,30982.11,30215.63,30382.25,30598.870000000003,24690
2023-07-11,30420.55,30803.53,30317.56,30627.2,30560.545,17639
2023-07-10,30170.46,31045.3,29963.78,30420.55,30504.54,22192
2023-07-09,30294.08,30441.67,30074.12,30170.46,30257.895,7137
2023-07-08,30349.83,30382.93,30056.33,30294.08,30219.63,6360
2023-07-07,29913.39,30448.99,29728.05,30349.83,30088.52,19313
2023-07-06,30502.9,31518.43,29869.16,29913.39,30693.795,30808
2023-07-05,30775.24,30876.65,30201.9,30502.9,30539.275,15848
2023-07-04,31158.79,31330.86,30635.48,30775.24,30983.17,13276
2023-07-03,30618.42,31386.91,30575.59,31158.79,30981.25,19616
2023-07-02,30590.71,30787.88,30190.61,30618.42,30489.245000000003,8645
2023-07-01,30471.0,30654.22,30321.73,30590.71,30487.975,7244
2023-06-30,30446.53,31267.11,29613.33,30471.0,30440.22,45957
2023-06-29,30080.24,30830.11,30043.35,30446.53,30436.73,22092
2023-06-28,30698.21,30712.28,29866.62,30080.24,30289.45,19004
2023-06-27,30274.61,31013.3,30231.48,30698.21,30622.39,21825
2023-06-26,30473.33,30659.36,29930.41,30274.61,30294.885,21671
2023-06-25,30548.03,31048.89,30297.62,30473.33,30673.255,13391
2023-06-24,30700.29,30810.88,30276.11,30548.03,30543.495000000003,12956
2023-06-23,29893.34,31412.43,29816.56,30700.29,30614.495000000003,41202
2023-06-22,30000.86,30499.92,29569.9,29893.34,30034.91,34336
2023-06-21,28318.58,30776.77,28277.2,30000.86,29526.985,57130
2023-06-20,26837.26,28410.71,26645.69,28318.58,27528.2,45952
2023-06-19,26338.27,27035.48,26260.78,26837.26,26648.13,17951
2023-06-18,26510.42,26689.18,26260.18,26338.27,26474.68,9363
2023-06-17,26329.75,26776.83,26170.63,26510.42,26473.730000000003,12515
2023-06-16,25575.24,26478.23,25164.41,26329.75,25821.32,27490
2023-06-15,25126.91,25743.71,24762.12,25575.24,25252.915,32797
2023-06-14,25925.2,26073.49,24834.48,25126.91,25453.985,26097
2023-06-13,25905.8,26426.14,25714.9,25925.2,26070.52,23043
2023-06-12,25936.78,26096.89,25627.25,25905.8,25862.07,17059
2023-06-11,25856.35,26211.29,25656.98,25936.78,25934.135,13168
2023-06-10,26483.95,26533.6,25460.6,25856.35,25997.1,31274
2023-06-09,26507.99,26776.13,26297.32,26483.95,26536.725,16584
2023-06-08,26349.52,26811.0,26227.87,26507.99,26519.435,15155
2023-06-07,27264.0,27420.01,26137.82,26349.52,26778.915,30523
2023-06-06,25740.49,27376.19,25378.79,27264.0,26377.49,38328
2023-06-05,27126.86,27134.81,25415.65,25740.49,26275.230000000003,34164
2023-06-04,27078.29,27447.88,26963.31,27126.86,27205.595,9147
2023-06-03,27251.31,27332.14,26950.56,27078.29,27141.35,8092
2023-06-02,26826.95,27304.43,26521.49,27251.31,26912.96,23726
2023-06-01,27220.7,27343.78,26646.29,26826.95,26995.035,23872
2023-05-31,27702.14,27838.39,26855.32,27220.7,27346.855,27999
2023-05-30,27746.07,28049.83,27567.55,27702.14,27808.69,23595
2023-05-29,28077.15,28456.94,27548.48,27746.07,28002.71,21630
2023-05-28,26872.08,28253.91,26790.38,28077.15,27522.145,19572
2023-05-27,26721.25,26899.17,26585.27,26872.08,26742.22,7346
2023-05-26,26480.31,26938.84,26338.38,26721.25,26638.61,20371
2023-05-25,26326.59,26600.0,25879.36,26480.31,26239.68,22738
2023-05-24,27224.64,27225.94,26088.24,26326.59,26657.09,31288
2023-05-23,26855.83,27475.27,26808.48,27224.64,27141.875,21224
2023-05-22,26755.7,27081.37,26547.27,26855.83,26814.32,17663
2023-05-21,27117.18,27273.52,26691.13,26755.7,26982.325,11953
2023-05-20,26887.96,27163.96,26839.84,27117.18,27001.9,7364
2023-05-19,26821.85,27176.23,26661.47,26887.96,26918.85,16451
2023-05-18,27404.35,27473.95,26394.46,26821.85,26934.205,27573
2023-05-17,27036.63,27492.13,26577.97,27404.35,27035.050000000003,29178
2023-05-16,27175.06,27301.71,26873.63,27036.63,27087.67,23917
2023-05-15,26932.09,27668.25,26757.84,27175.06,27213.045,27945
2023-05-14,26789.55,27201.48,26611.49,26932.09,26906.485,11865
2023-05-13,26807.89,27048.87,26705.71,26789.55,26877.29,12487
2023-05-12,26992.24,27080.81,25848.3,26807.89,26464.555,42502
2023-05-11,27628.13,27640.51,26732.91,26992.24,27186.71,29489
2023-05-10,27679.75,28330.99,26849.01,27628.13,27590.0,41602
2023-05-09,27781.0,27962.92,27516.13,27679.75,27739.525,22719
2023-05-08,28574.43,28785.25,27408.28,27781.0,28096.765,40368
2023-05-07,28943.94,29207.72,28547.14,28574.43,28877.43,16591
2023-05-06,29550.84,29857.86,28459.77,28943.94,29158.815,24511
2023-05-05,28866.54,29697.23,28853.1,29550.84,29275.165,35357
2023-05-04,29041.0,29370.41,28703.83,28866.54,29037.120000000003,27555
2023-05-03,28694.85,29274.35,28155.84,29041.0,28715.095,40240
2023-05-02,28086.19,28896.62,27897.95,28694.85,28397.285,32635
2023-05-01,29234.41,29340.17,27679.83,28086.19,28510.0,43803
2023-04-30,29250.94,29963.23,29110.79,29234.41,29537.01,23236
2023-04-29,29339.91,29463.49,29090.83,29250.94,29277.160000000003,11322
2023-04-28,29485.09,29604.84,28922.6,29339.91,29263.72,35155
2023-04-27,28433.41,29891.79,28395.94,29485.09,29143.865,63311
2023-04-26,28308.39,30017.37,27262.37,28433.41,28639.87,78201
2023-04-25,27520.33,28396.41,27202.16,28308.39,27799.285,31677
2023-04-24,27596.71,27989.5,27015.4,27520.33,27502.45,34222
2023-04-23,27818.87,27822.64,27356.31,27596.71,27589.475,18268
